acopio,anio,mes,fecha,orig_mes,orig_ytd,equiv_mes,equiv_ytd
ITIN,2022,3,2022-03-01,11917,57776,0,6694.225999999999
ITIN,2022,4,2022-04-01,34650,92426,6466.160499999995,13160.386499999993
ITIN,2022,5,2022-05-01,32285,124711,14353.609999999982,27513.996499999976
ITIN,2022,6,2022-06-01,16437,141148,7873.079000000002,35387.07549999998
ITIN,2022,7,2022-07-01,8892,150040,7311.223000000001,42698.298499999975
ITIN,2022,8,2022-08-01,13318,163358,4727.0035,47425.301999999974
ITIN,2022,9,2022-09-01,11179,174537,7596.4645,55021.766499999976
ITIN,2022,10,2022-10-01,4029,178566,6777.658999999998,61799.425499999976
ITIN,2022,11,2022-11-01,8224,186790,9754.099999999999,71553.52549999997
ITIN,2022,12,2022-12-01,6568,193358,5590.366500000001,77143.89199999998
ITIN,2023,1,2023-01-01,30618,30618,4452.54,4452.54
ITIN,2023,2,2023-02-01,3600,34218,1652.67,6105.21
ITIN,2023,3,2023-03-01,7045,41263,989.57,7094.78
ITIN,2023,4,2023-04-01,4715,45978,506.38,7601.16
ITIN,2023,5,2023-05-01,19972,65950,9008.5,16609.66
ITIN,2023,6,2023-06-01,16755,82705,8865.27,25474.93
ITIN,2023,7,2023-07-01,20332,103037,13578.329999999998,39053.259999999995
ITIN,2023,8,2023-08-01,9579,112616,5175.74,44228.99999999999
ITIN,2023,9,2023-09-01,9203,121819,3555.81,47784.80999999999
ITIN,2023,10,2023-10-01,3172,124991,6489.72,54274.52999999999
ITIN,2023,11,2023-11-01,5938,130929,4824.43,59098.95999999999
ITIN,2023,12,2023-12-01,4430,135359,2911.8,62010.759999999995
ITIN,2024,1,2024-01-01,24644,24644,2089.73,2089.73
ITIN,2024,2,2024-02-01,4859,29503,1737.5700000000002,3827.3
ITIN,2024,3,2024-03-01,16335,45838,317.52,4144.82
ITIN,2024,4,2024-04-01,14401,60239,5702.86,9847.68
ITIN,2024,5,2024-05-01,21777,82016,16089.15,25936.83
ITIN,2024,6,2024-06-01,16457,98473,13691.699999999999,39628.53
ITIN,2024,7,2024-07-01,10869,109342,6783.53,46412.06
ITIN,2024,8,2024-08-01,2572,111914,3783.4500000000003,50195.509999999995
ITIN,2024,9,2024-09-01,4159,116073,6276.05,56471.56
ITIN,2024,10,2024-10-01,8833,124906,11289.86,67761.42
ITIN,2024,11,2024-11-01,10701,135607,7650.63,75412.05
ITIN,2024,12,2024-12-01,10623,146230,7004.74,82416.79000000001
ITIN,2025,1,2025-01-01,33110.426,33110.426,13804.880000000001,13804.880000000001
ITIN,2025,2,2025-02-01,8374.604,41485.03,4306.23,18111.11
ITIN,2025,3,2025-03-01,2505.081999999995,43990.111999999994,24.729999999999563,18135.84
ITIN,2025,4,2025-04-01,13532.888000000006,57523,887.7599999999984,19023.6
ITIN,2025,5,2025-05-01,10677.096999999994,68200.097,6214.740000000002,25238.34
ITIN,2025,6,2025-06-01,16697.392999999982,84897.48999999998,8278.709999999995,33517.049999999996
ITIN,2025,7,2025-07-01,8955.856000000029,93853.346,4808.529999999999,38325.579999999994
ITIN,2025,8,2025-08-01,18807.516000000003,112660.86200000001,11922.190000000002,50247.77
ITIN,2025,9,2025-09-01,9488.357999999993,122149.22,8650.580000000002,58898.35
ITIN,2025,10,2025-10-01,34173.86799999999,156323.088,10142.239999999998,69040.59
LAS VARILLAS,2017,1,2017-01-01,16714,16714,582.9,582.9
LAS VARILLAS,2017,2,2017-02-01,5362,22076,1504.7399999999998,2087.64
LAS VARILLAS,2017,3,2017-03-01,21122.767999999996,43198.768,334.84000000000015,2422.48
LAS VARILLAS,2017,4,2017-04-01,16342.624000000003,59541.392,2323.68,4746.16
LAS VARILLAS,2017,5,2017-05-01,5086.811999999998,64628.204,6457.9,11204.06
LAS VARILLAS,2017,6,2017-06-01,1422.5230000000156,66050.72700000001,3639.300000000001,14843.36
LAS VARILLAS,2017,7,2017-07-01,6291.333999999988,72342.061,4997.260000000002,19840.620000000003
LAS VARILLAS,2017,8,2017-08-01,13040.013999999996,85382.075,5690.9000000000015,25531.520000000004
LAS VARILLAS,2017,9,2017-09-01,2886,88268.075,671.0200000000004,26202.540000000005
LAS VARILLAS,2017,10,2017-10-01,898.8879999999917,89166.96299999999,915.5800000000017,27118.120000000006
LAS VARILLAS,2017,11,2017-11-01,15874,105040.96299999999,261.08000000000175,27379.200000000008
LAS VARILLAS,2017,12,2017-12-01,7730,112770.96299999999,9.340000000000146,27388.540000000008
LAS VARILLAS,2018,1,2018-01-01,26649.676,26649.676,33.32,33.32
LAS VARILLAS,2018,2,2018-02-01,7255.784000000007,33905.46000000001,3.0600000000000023,36.38
LAS VARILLAS,2018,3,2018-03-01,0,33905.46000000001,0,36.38
LAS VARILLAS,2018,4,2018-04-01,31758,65663.46,13511,13547.38
LAS VARILLAS,2018,5,2018-05-01,4.539999999993597,65668,-3253.7699999999986,10293.61
LAS VARILLAS,2018,6,2018-06-01,3064,68732,2938.146499999999,13231.7565
LAS VARILLAS,2018,7,2018-07-01,7595,76327,749.5,13981.2565
LAS VARILLAS,2018,8,2018-08-01,2198,78525,3143,17124.2565
LAS VARILLAS,2018,9,2018-09-01,3716,82241,2887.470000000001,20011.7265
LAS VARILLAS,2018,10,2018-10-01,4453,86694,0,20011.7265
LAS VARILLAS,2018,11,2018-11-01,4975,91669,1532.2799999999988,21544.0065
LAS VARILLAS,2018,12,2018-12-01,5790,97459,2156.59,23700.5965
LAS VARILLAS,2019,1,2019-01-01,41365,41365,357,357
LAS VARILLAS,2019,2,2019-02-01,5848,47213,899.5,1256.5
LAS VARILLAS,2019,3,2019-03-01,16270,63483,2628.5,3885
LAS VARILLAS,2019,4,2019-04-01,11276,74759,5811,9696
LAS VARILLAS,2019,5,2019-05-01,20866,95625,5194.6875,14890.6875
LAS VARILLAS,2019,6,2019-06-01,9260,104885,3014.369999999999,17905.0575
